packet size: 512bytes
number of packets: 16.0
signal frequency: 100
sample frequency: 200.0
force units: lb, moment units: lb-ft
Counter: 106.0     , Fx: 0.0       ,Fy: -0.01     , Fz: 0.07      , Mx: 0.0141    ,My: -0.0071   ,Mz: 0.0       ,
Counter: 107.0     , Fx: -0.05     ,Fy: -0.02     , Fz: -0.04     , Mx: -0.0071   ,My: 0.0212    ,Mz: 0.0277    ,
Counter: 108.0     , Fx: 0.0       ,Fy: 0.04      , Fz: 0.05      , Mx: -0.0212   ,My: 0.0212    ,Mz: 0.0092    ,
Counter: 109.0     , Fx: 0.01      ,Fy: -0.0      , Fz: -0.13     , Mx: 0.0071    ,My: 0.0282    ,Mz: -0.0092   ,
Counter: 110.0     , Fx: 0.02      ,Fy: 0.04      , Fz: -0.28     , Mx: -0.0353   ,My: 0.0424    ,Mz: 0.0092    ,
Counter: 111.0     , Fx: -0.06     ,Fy: -0.01     , Fz: 0.25      , Mx: -0.0071   ,My: 0.0424    ,Mz: 0.0092    ,
Counter: 112.0     , Fx: -0.01     ,Fy: -0.06     , Fz: 0.09      , Mx: 0.0283    ,My: -0.0424   ,Mz: 0.0554    ,
Counter: 113.0     , Fx: -0.05     ,Fy: -0.01     , Fz: 0.08      , Mx: -0.0424   ,My: -0.0282   ,Mz: -0.0092   ,
Counter: 114.0     , Fx: -0.0      ,Fy: 0.01      , Fz: 0.16      , Mx: -0.0494   ,My: -0.0141   ,Mz: -0.0185   ,
Counter: 115.0     , Fx: 0.04      ,Fy: -0.04     , Fz: 0.21      , Mx: 0.0283    ,My: -0.0141   ,Mz: -0.0185   ,
Counter: 116.0     , Fx: 0.01      ,Fy: 0.02      , Fz: 0.08      , Mx: 0.0212    ,My: -0.0141   ,Mz: 0.0       ,
Counter: 117.0     , Fx: -0.03     ,Fy: -0.02     , Fz: 0.03      , Mx: 0.0071    ,My: -0.0212   ,Mz: -0.0092   ,
Counter: 118.0     , Fx: 0.04      ,Fy: 0.07      , Fz: 0.11      , Mx: -0.0494   ,My: -0.0141   ,Mz: 0.0185    ,
